commit id,author,date,comment,changed files,lines added,lines deleted

097cefd,bellaalimm23,Tue Jun 25 12:55:11 2024,"perbaikan halaman admin mahasiswa",   4 files changed, 5 insertions(+), 6 deletions(-) 
b2fa7ae,bellaalimm23,Sun Jun 23 21:15:33 2024,"ubah struktur folder",   4 files changed, 14 insertions(+), 11 deletions(-) 
0770db3,bellaalimm23,Sun Jun 23 21:03:13 2024,"perbaikan validasi data",   13 files changed, 86 insertions(+), 29 deletions(-) 
22ff973,bellaalimm23,Sun Jun 23 11:11:28 2024,"perbaikan api",   9 files changed, 11 insertions(+), 17 deletions(-) 
9480b45,bellaalimm23,Sat Jun 22 10:20:47 2024,"perbaikan data me",   2 files changed, 3 insertions(+), 2 deletions(-) 
aa74b9b,bellaalimm23,Sat Jun 22 10:18:07 2024,"perbaikan halaman beranda",   1 file changed, 7 insertions(+), 2 deletions(-) 
d3f7cdf,bellaalimm23,Fri Jun 21 17:44:43 2024,"perbaikan tampilan mahasiswa",   4 files changed, 41 insertions(+), 19 deletions(-) 
4f3cec5,bellaalimm23,Fri Jun 21 17:36:57 2024,"perbaikan pembaharuan data",   1 file changed, 5 insertions(+), 5 deletions(-) 
241f9c2,bellaalimm23,Fri Jun 21 17:34:00 2024,"perbaikan tampilan profil",   17 files changed, 113 insertions(+), 49 deletions(-) 
444422e,bellaalimm23,Fri Jun 21 17:03:46 2024,"perbaikan hapus data",   33 files changed, 398 insertions(+), 118 deletions(-) 
3ce84ee,bellaalimm23,Fri Jun 21 15:39:29 2024,"integrasi hapus data",   15 files changed, 180 insertions(+), 122 deletions(-) 
0fac03c,bellaalimm23,Fri Jun 21 14:54:11 2024,"tambah filter",   7 files changed, 144 insertions(+), 8 deletions(-) 
bf7ce7a,bellaalimm23,Fri Jun 21 14:30:57 2024,"perbaikan header dan navigasi",   2 files changed, 6 insertions(+), 5 deletions(-) 
c04b28b,bellaalimm23,Fri Jun 21 14:23:21 2024,"Merge commit '9a61b090c4b6daba8408c44b58753f045955ee11'", 
fac8dd9,bellalimm23,Fri Jun 21 13:39:15 2024,"Merge pull request #1 from bellalimm23/revise/major-01", 
9a61b09,bellaalimm23,Fri Jun 21 13:35:55 2024,"integrasi supabase file",   123 files changed, 3899 insertions(+), 1485 deletions(-) 
3375b0c,bellaalimm23,Wed Jun 19 21:44:58 2024,"integrasi database",   35 files changed, 1870 insertions(+), 172 deletions(-) 
68c9b50,bellaalimm23,Fri May 24 18:58:24 2024,"tambah menu program studi",   4 files changed, 116 insertions(+), 4 deletions(-) 
0934789,bellaalimm23,Fri May 24 18:42:49 2024,"tambah menu admin",   20 files changed, 382 insertions(+), 1 deletion(-) 
5bbb923,bellaalimm23,Fri May 24 16:01:20 2024,"koneksi database",   9 files changed, 4185 insertions(+), 2716 deletions(-) 
799a6ca,bellaalimm23,Sun Apr 28 21:21:57 2024,"evaluasi register dan login",   9 files changed, 282 insertions(+), 6 deletions(-) 
fb6465f,bellaalimm23,Sun Apr 28 20:43:31 2024,"evaluasi design",   104 files changed, 4329 insertions(+), 192 deletions(-) 
402c2e3,bellaalimm23,Wed Apr 24 12:28:21 2024,"refactor: remove all code",   67 files changed, 2 insertions(+), 3923 deletions(-) 
13c4e1e,bellaalimm23,Sun Apr 14 12:46:25 2024,"evaluasi admin user (tambah foto profil)",   2 files changed, 15 insertions(+) 
387783a,bellaalimm23,Sun Apr 14 12:32:17 2024,"evaluasi menu profil (tambah foto profil)",   21 files changed, 133 insertions(+), 67 deletions(-) 
bd0afc5,bellaalimm23,Sun Apr 14 11:15:13 2024,"evaluasi daftar sertifikat",   13 files changed, 310 insertions(+), 273 deletions(-) 
b73c761,bellaalimm23,Sun Feb 25 01:06:46 2024,"evaluasi fitur profil",   1 file changed, 3 insertions(+), 3 deletions(-) 
581e3e7,bellaalimm23,Sun Feb 25 00:59:27 2024,"evaluasi fitur tugas akhir",   1 file changed, 3 insertions(+), 3 deletions(-) 
085810e,bellaalimm23,Sun Feb 25 00:57:22 2024,"evaluasi fitur profil",   2 files changed, 2 insertions(+), 1 deletion(-) 
bed6239,bellaalimm23,Sun Feb 25 00:56:45 2024,"tambah fitur profil",   31 files changed, 1044 insertions(+), 169 deletions(-) 
e6c1281,bellaalimm23,Thu Feb 22 22:14:36 2024,"tambah fitur daftar user, daftar thesis, detail user, detail thesis",   19 files changed, 657 insertions(+), 68 deletions(-) 
b8b2ea9,bellaalimm23,Sat Feb 17 23:05:06 2024,"fix phospor",   3 files changed, 10 insertions(+), 5 deletions(-) 
d07da9e,bellaalimm23,Sat Feb 17 23:00:16 2024,"tambah fitur tesis, fakultas, jurusan, user",   37 files changed, 1713 insertions(+), 222 deletions(-) 
86fefc1,bellaalimm23,Sat Feb 10 21:14:05 2024,"testing icons",   13 files changed, 74 insertions(+), 76 deletions(-) 
bea8e93,bellaalimm23,Sat Feb 10 20:47:00 2024,"perbaikan file",   3 files changed, 14 insertions(+), 1 deletion(-) 
40d1645,bellaalimm23,Sat Feb 10 15:35:41 2024,"evaluasi tampilan 404",   3 files changed, 26 insertions(+), 19 deletions(-) 
087b398,bellaalimm23,Sat Feb 10 15:01:30 2024,"menyelesaikan tampilan fitur user;",   10 files changed, 503 insertions(+), 18 deletions(-) 
